decricao;endereco;area;quarto;banheiro;vagas;valor;wlink
Apartamento com 3 Quartos à Venda, 81m²;Avenida Horácio Krepischi, 300 - Campinho, Araras - SP;81;3;3;1;640.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-campinho-bairros-araras-com-garagem-81m2-venda-RS640000-id-2570686325/
Residencial Aritá;Rua Victório Arthur Corrocher, 100 - Jardim Abolição de Lourenço Dias, Araras - SP;41-45;2;1;1;149.990;https://www.vivareal.com.br/imoveis-lancamento/residencial-arita-2447082638/
Apartamento com 2 Quartos à Venda, 42m²;Avenida Augusta Viola da Costa, 968 - Jardim Celina, Araras - SP;42;2;1;1;118.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-celina-bairros-araras-com-garagem-42m2-venda-RS118000-id-2563720738/
Apartamento com 4 Quartos à Venda, 400m²;Rua Treze de Maio - Centro, Araras - SP;400;4;3;2;900.000;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-araras-com-garagem-400m2-venda-RS900000-id-2427726145/
Apartamento com 2 Quartos à Venda, 60m²;Rua Durval Belattini - Jardim Morumbi, Araras - SP;60;2;1;1;135.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-morumbi-bairros-araras-com-garagem-60m2-venda-RS135000-id-2427683899/
Apartamento com 2 Quartos à Venda, 80m²;Rua Marechal Deodoro - Centro, Araras - SP;80;2;2;1;330.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-araras-com-garagem-80m2-venda-RS330000-id-2558424468/
Apartamento com 2 Quartos à Venda, 73m²;Rua Santa Cruz, 863 - Centro, Araras - SP;73;2;2;1;200.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-araras-com-garagem-73m2-venda-RS200000-id-2440034380/
Apartamento com 3 Quartos à Venda, 73m²;Avenida Leme, 215 - Parque das Árvores, Araras - SP;73;3;2;2;290.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-das-arvores-bairros-araras-com-garagem-73m2-venda-RS290000-id-2577022742/
Portal Mirante da Lagoa;Rua Florianópolis, 1051 - Jardim dos Eucaliptos, Araras - SP;55;2;2;1;;https://www.vivareal.com.br/imoveis-lancamento/portal-mirante-da-lagoa-2538754997/
Apartamento com 3 Quartos à Venda/Aluguel 83m²;Rua Santa Cruz, 1162 - Centro, Araras - SP;83;3;2;1;850;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-araras-com-garagem-83m2-venda-RS250000-id-1037118436/
Apartamento com 2 Quartos à Venda, 117m²;Jardim das Palmeiras, Araras - SP;117;2;2;2;370.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-palmeiras-bairros-araras-com-garagem-117m2-venda-RS370000-id-2571896986/
Apartamento com 2 Quartos à Venda, 39m²;Avenida Presidente Costa e Silva, 503 - Conjunto Habitacional Narciso Gomes, Araras - SP;39;2;1;1;82.575;https://www.vivareal.com.br/imovel/apartamento-2-quartos-conjunto-habitacional-narciso-gomes-bairros-araras-com-garagem-39m2-venda-RS82575-id-2583837004/
Apartamento com  Quarto à Venda, 31m²;Rua Ernesto Guidugli, 211 - Jardim Oito de Abril, Araras - SP;31;1;1;1;120.000;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oito-de-abril-bairros-araras-com-garagem-31m2-venda-RS120000-id-2430357879/
